date,price,open,high,low,vol,change
10/29/18,751000,779000,787000,736000,0.43K,-3.47%
10/30/18,752000,751000,757000,743000,0.32K,0.13%
10/31/18,757000,752000,769000,739000,0.49K,0.66%
11/01/18,763000,757000,765000,748000,0.44K,0.79%
11/02/18,768000,763000,776000,756000,1.12K,0.66%
11/03/18,769000,768000,773000,761000,0.24K,0.13%
11/04/18,810000,768000,832000,758000,1.19K,5.33%
11/05/18,793000,810000,828000,792000,1.09K,-2.10%
11/06/18,819000,793000,823000,793000,0.61K,3.28%
11/07/18,792000,824000,830000,787000,0.61K,-3.30%
11/08/18,773000,792000,797000,772000,0.45K,-2.40%
11/09/18,773000,773000,783000,762000,0.34K,0.00%
11/10/18,776000,773000,778000,765000,0.16K,0.39%
11/11/18,750000,770000,776000,740000,0.44K,-3.35%
11/12/18,751000,755000,757000,743000,0.25K,0.13%
11/13/18,737000,750000,755000,732000,0.54K,-1.86%
11/14/18,664000,737000,746000,621000,0.57K,-9.91%
11/15/18,657000,664000,675000,606000,0.92K,-1.05%
11/16/18,631000,657000,663000,626000,0.26K,-3.96%
11/17/18,622000,633000,633000,620000,0.56K,-1.43%
11/18/18,631000,623000,639000,623000,0.42K,1.45%
11/19/18,541000,631000,632000,528000,1.57K,-14.26%
11/20/18,475000,535000,562000,435000,1.63K,-12.20%
11/21/18,506000,475000,506000,458000,1.22K,6.53%
11/22/18,473000,506000,514000,473000,0.62K,-6.52%
11/23/18,469000,473000,482000,451000,0.74K,-0.85%
11/24/18,440000,469000,488000,429000,0.82K,-6.18%
11/25/18,450000,440000,472000,389000,1.21K,2.27%
11/26/18,433000,450000,469000,411000,0.99K,-3.78%
11/27/18,459000,433000,468000,424000,0.71K,6.00%
11/28/18,497000,459000,522000,451000,0.97K,8.28%
11/29/18,490000,497000,507000,477000,1.38K,-1.41%
11/30/18,466000,490000,498000,457000,0.49K,-4.90%
12/01/18,490000,466000,505000,458000,0.73K,5.15%
12/02/18,486000,489000,500000,477000,0.42K,-0.82%
12/03/18,449000,486000,488000,436000,1.47K,-7.61%
12/04/18,450000,449000,467000,440000,0.73K,0.22%
12/05/18,424000,450000,454000,422000,0.83K,-5.78%
12/06/18,391000,424000,445000,391000,0.89K,-7.78%
12/07/18,368000,391000,391000,332000,1.01K,-5.88%
12/08/18,355000,368000,392000,338000,1.77K,-3.53%
12/09/18,373000,355000,389000,354000,1.15K,5.07%
12/10/18,355000,373000,374000,350000,0.81K,-4.83%
12/11/18,347000,355000,362000,342000,0.41K,-2.25%
12/12/18,353000,347000,387000,346000,1.10K,1.73%
12/13/18,338000,353000,356000,337000,1.84K,-4.25%
12/14/18,343000,338000,346000,330000,0.64K,1.48%
12/15/18,345000,343000,355000,338000,0.92K,0.58%
12/16/18,370000,345000,387000,345000,1.92K,7.25%
12/17/18,422000,370000,448000,365000,2.33K,14.05%
12/18/18,440000,422000,440000,409000,1.25K,4.27%
12/19/18,424000,440000,460000,418000,2.37K,-3.64%
12/20/18,464000,424000,471000,418000,1.47K,9.43%
12/21/18,448000,464000,473000,436000,0.94K,-3.45%
12/22/18,465000,448000,465000,437000,0.47K,3.79%
12/23/18,487000,465000,494000,462000,0.77K,4.73%
12/24/18,483000,487000,527000,480000,1.71K,-0.82%
12/25/18,460000,483000,483000,444000,1.03K,-4.76%
12/26/18,455000,460000,480000,436000,0.81K,-1.09%
12/27/18,414000,455000,465000,410000,1.36K,-9.01%
12/28/18,481000,414000,491000,411000,1.89K,16.18%
12/29/18,448000,480000,483000,448000,1.17K,-6.86%
12/30/18,461000,448000,469000,446000,0.55K,2.90%
12/31/18,445000,461000,468000,438000,0.51K,-3.47%
01/01/19,469000,445000,473000,442000,0.56K,5.39%
01/02/19,488000,469000,490000,465000,0.83K,4.05%
01/03/19,462000,488000,488000,455000,0.89K,-5.33%
01/04/19,466000,462000,475000,455000,0.54K,0.87%
01/05/19,506000,469000,530000,469000,2.42K,8.58%
01/06/19,558000,506000,570000,503000,4.46K,10.28%
01/07/19,536000,558000,561000,530000,1.33K,-3.94%
01/08/19,563000,536000,585000,536000,1.57K,5.04%
01/09/19,555000,563000,575000,550000,1.12K,-1.42%
01/10/19,481000,555000,560000,460000,1.89K,-13.33%
01/11/19,466000,481000,486000,460000,0.89K,-3.12%
01/12/19,463000,466000,473000,460000,0.48K,-0.64%
01/13/19,434000,463000,478000,427000,0.82K,-6.26%
01/14/19,458000,434000,465000,429000,0.80K,5.53%
01/15/19,447000,458000,463000,434000,0.98K,-2.40%
01/16/19,449000,447000,457000,438000,0.35K,0.45%
01/17/19,446000,449000,452000,435000,0.75K,-0.67%
01/18/19,441000,450000,453000,439000,0.42K,-1.12%
01/19/19,461000,441000,472000,441000,1.46K,4.54%
01/20/19,438000,461000,478000,435000,1.89K,-4.99%
01/21/19,443000,438000,449000,438000,0.78K,1.14%
01/22/19,449000,443000,456000,427000,0.55K,1.35%
01/23/19,450000,450000,459000,445000,0.45K,0.22%
01/24/19,461000,450000,468000,442000,0.52K,2.44%
01/25/19,461000,463000,471000,452000,0.57K,0.00%
01/26/19,465000,461000,477000,458000,0.82K,0.87%
01/27/19,459000,465000,471000,449000,0.49K,-1.29%
01/28/19,440000,459000,459000,427000,1.19K,-4.14%
01/29/19,436000,440000,442000,420000,0.52K,-0.91%
01/30/19,448000,436000,450000,430000,0.41K,2.75%
01/31/19,444000,448000,458000,438000,0.84K,-0.89%
02/01/19,463000,444000,471000,436000,0.88K,4.28%
02/02/19,485000,463000,488000,458000,0.74K,4.75%
02/03/19,470000,485000,488000,467000,0.84K,-3.09%
02/04/19,480000,470000,483000,470000,0.48K,2.13%
